"divipola.Código.Centro.Poblado","divipola.Nombre.Centro.Poblado","hdx_pcode"
"05690001","BOTERO","COL-"
"05690002","EL LIMON","COL-"
"05690003","PORCECITO","COL-"
"05690004","SANTIAGO","COL-"
"05690005","VERSALLES","COL-"
"05690008","LA QUIEBRA","COL-"
"05697000","EL SANTUARIO","COL-"
"05736000","SEGOVIA","COL-"
"05736001","FRAGUAS","COL-"
"05736002","PUERTO CALAVERA","COL-"
"05736003","CAMPO ALEGRE","COL-"
"05736004","EL CENIZO","COL-"
"05736005","EL CRISTO","COL-"
"05736006","EL CHISPERO","COL-"
"05736007","LA CALIENTE","COL-"
"05756000","SONSÓN","COL-"
"05756001","ALTO DE SABANAS","COL-"
"05756005","SAN MIGUEL","COL-"
"05756030","LA DANTA","COL-"
"05756033","JERUSALÉN","COL-"
"05761000","SOPETRÁN","COL-"
"05761001","CÓRDOBA","COL-"
"05761003","HORIZONTES","COL-"
"05761005","SAN NICOLÁS","COL-"
"05761009","EL RODEO","COL-"
"05789000","TÁMESIS","COL-"
"05789001","PALERMO","COL-"
"05789002","SAN PABLO","COL-"
"05790000","TARAZÁ","COL-"
"05790001","BARRO BLANCO","COL-"
"05790002","EL DOCE","COL-"
"05790003","PUERTO ANTIOQUIA","COL-"
"05790004","LA CAUCANA","COL-"
"05790005","EL GUAIMARO","COL-"
"05790006","PIEDRAS","COL-"
"05792000","TARSO","COL-"
"05809000","TITIRIBÍ","COL-"
"05809001","LA MESETA","COL-"
"05809002","ALBANIA","COL-"
"05809003","OTRAMINA","COL-"
"05809004","SITIO VIEJO","COL-"
"05809005","CORCOVADO","COL-"
"05809006","BALSAL","COL-"
"05809007","BOSQUE","COL-"
"05809008","CARACOL","COL-"
"05809009","FALDA DEL CAUCA","COL-"
